prefecture,prefecture_code,fiscal_year,fund_total_million_yen,fiscal_adjustment_fund_million_yen,debt_reduction_fund_million_yen,other_specific_funds_million_yen,cash_deposit_million_yen,trust_million_yen,securities_million_yen,local_bonds_million_yen,equity_contributions_million_yen,source_other_million_yen,other_assets_million_yen,standard_financial_scale_million_yen,revenue_total_million_yen,expenditure_total_million_yen,securities_ratio_pct,cash_deposit_ratio_pct,local_bond_ratio_pct,local_bond_share_of_securities_pct,fund_to_standard_scale_pct,securities_to_standard_scale_pct,securities_ratio_yoy_change_pt
岩手県,30007,2023,118111.945,30999.39,33326.962,53785.593,0.0,0.0,11612.076,4040.0,0.0,106499.869,106499.869,390645.538,809515.999,756669.461,9.831415442358518,0.0,3.4204838469131973,34.79136719394534,30.235068242351204,2.9725351681861523,1.574979986272691
宮城県,40002,2023,205385.163,20971.403,19749.762,164663.998,193420.343,0.0,11964.82,942.812,0.0,0.0,0.0,484916.321,1024723.861,1008373.713,5.825552257638007,94.17444774236199,0.45904581724824983,7.879867812470226,42.354763926372364,2.467398906130033,3.2957948591394457
秋田県,50008,2023,78022.393,16929.358,30709.166,30383.869,76716.027,0.0,1050.0,0.0,0.0,256.366,256.366,325377.398,617448.721,599529.541,1.345767490110179,98.32565248287118,0.0,0.0,23.979045096426766,0.32270219334657047,0.39646325708958063
山形県,60003,2023,70720.529,26975.673,18910.392,24834.464,68906.156,0.0,1789.445,0.0,0.0,24.928,24.928,330114.778,676811.593,664557.243,2.530304885021434,97.43444650986703,0.0,0.0,21.423012150034676,0.5420675229510629,0.8721962464650341
福島県,70009,2023,526501.975,28151.145,29929.775,468421.055,447885.023,0.0,78494.755,2399.483,0.0,122.197,122.197,498570.05,1257263.227,1224298.248,14.908729449685351,85.06806133063414,0.45574055064085944,3.056870487716026,105.60240732470794,15.743977200395411,0.055562793868841
茨城県,80004,2023,228075.264,68159.718,51805.553,108109.993,227870.905,0.0,0.0,0.0,0.0,204.359,204.359,670201.892,1259006.243,1220658.113,0.0,99.91039843759646,0.0,,34.03082962350098,0.0,0.0
栃木県,90000,2023,120357.793,37613.863,32812.116,49931.814,111693.932,0.0,8340.0,6390.0,0.0,323.861,323.861,457322.53,931727.812,912533.087,6.929339423829414,92.80157870624961,5.309170134085127,76.61870503597122,26.317923370186904,1.8236582396235756,0.2430022346020202
群馬県,100005,2023,127109.625,92038.433,3082.403,31988.789,124194.07,0.0,2845.916,2545.916,0.0,69.639,69.639,459270.457,904925.531,886922.117,2.238946106559594,97.70626732633347,2.0029293611715087,89.45857853850922,27.67642095472298,0.6196601494008138,-1.566704484243557
埼玉県,110001,2023,284886.735,117854.765,42411.848,124620.122,107708.09,0.0,177178.645,174171.524,0.0,0.0,0.0,1295347.443,2102354.725,2059405.178,62.19266228734729,37.80733771265272,61.137112614246504,98.3027745809886,21.9930750270528,13.67807887817786,-2.0636152751685444
千葉県,120006,2023,404860.445,98696.56,49900.024,256263.861,404760.445,0.0,100.0,0.0,0.0,0.0,0.0,1147566.348,2045562.522,2011231.816,0.024699869111688595,99.97530013088831,0.0,0.0,35.279916120370586,0.00871409310444506,-0.0010981095129782917
