prefecture,prefecture_code,R4_fund_total_million_yen,R4_cash_deposit_million_yen,R4_securities_million_yen,R4_securities_ratio_pct,R4_cash_deposit_ratio_pct,R4_local_bond_ratio_pct,R4_standard_financial_scale_million_yen,R4_securities_to_standard_scale_pct,R5_fund_total_million_yen,R5_cash_deposit_million_yen,R5_securities_million_yen,R5_securities_ratio_pct,R5_cash_deposit_ratio_pct,R5_local_bond_ratio_pct,R5_standard_financial_scale_million_yen,R5_securities_to_standard_scale_pct,R6_fund_total_million_yen,R6_cash_deposit_million_yen,R6_securities_million_yen,R6_securities_ratio_pct,R6_cash_deposit_ratio_pct,R6_local_bond_ratio_pct,R6_standard_financial_scale_million_yen,R6_securities_to_standard_scale_pct,R4_R6_securities_ratio_change_pt,R4_R6_securities_change_million_yen,R4_R6_securities_growth_pct,R4_R6_cash_deposit_decline_million_yen,typology
鳥取県,310000,62502.585,55852.374,6650.211,10.639897533838,89.360102466162,10.639897533838,218535.827,3.043075861423857,63541.566,55084.168,8457.398,13.31002449640602,86.68997550359397,13.31002449640602,218367.059,3.8730191443389814,61466.029,53174.327,8291.702,13.489893742769684,86.51010625723032,13.489893742769684,220592.361,3.758834604431293,2.8499962089316835,1641.490999999999,24.68329200381761,2678.047000000006,A: 有価証券比率が高く、さらに増加
島根県,320005,45182.681,20281.193,24892.162,55.09226422398441,44.887095123903784,10.535939644661637,277976.278,8.954779227600133,52691.446,25428.032,27263.414,51.74163183906549,48.25836816093451,5.8277656680744725,276422.24,9.862959651871716,53895.939,23640.256,30255.683,56.137222138387834,43.86277786161217,6.8883093399671536,279820.319,10.812539671216657,1.044957914403426,5363.521000000001,21.547027534209366,-3359.063000000002,A: 有価証券比率が高く、さらに増加
岡山県,330001,109437.47,97434.261,12003.209,10.968098038085127,89.03190196191487,6.936547418356802,428688.956,2.7999809260306674,106200.709,93120.403,13080.306,12.316590089808157,87.68340991019184,8.064577045337805,432540.929,3.0240620304396675,109646.5,96152.41,13494.09,12.30690446115471,87.69309553884528,7.042940723142098,438633.541,3.0763926464073115,1.3388064230695829,1490.8809999999994,12.420686834662293,1281.850999999995,A: 有価証券比率が高く、さらに増加
広島県,340006,165516.03,164518.644,0.0,0.0,99.39740821478136,0.0,579288.543,0.0,161571.735,160557.972,0.0,0.0,99.37256166742284,0.0,588217.627,0.0,162544.074,161516.745,0.0,0.0,99.36796896083705,0.0,599882.425,0.0,0.0,0.0,,3001.899000000005,B: 低位から相対的にシフト
山口県,350001,69956.104,69933.435,0.0,0.0,99.96759539382009,0.0,376358.415,0.0,74082.008,74059.339,0.0,0.0,99.96940012749114,0.0,377054.808,0.0,91210.479,91187.81,0.0,0.0,99.97514649605117,0.0,381900.448,0.0,0.0,0.0,,-21254.375,B: 低位から相対的にシフト
徳島県,360007,87845.803,87090.455,706.514,0.8042660842886256,99.14014332591393,0.0,258554.954,0.2732548686729089,91128.578,90376.601,706.514,0.7752935637819347,99.17481758576328,0.0,256922.987,0.27499057528861753,98148.121,97394.347,706.514,0.7198446519419358,99.2320036366259,0.0,260520.066,0.2711936976094579,-0.08442143234668975,0.0,0.0,-10303.891999999993,D: 現預金中心・シフト小
香川県,370002,76237.949,76237.949,0.0,0.0,100.0,0.0,268414.402,0.0,79579.205,79579.205,0.0,0.0,100.0,0.0,270112.017,0.0,82111.452,82111.452,0.0,0.0,100.0,0.0,274945.203,0.0,0.0,0.0,,-5873.5030000000115,B: 低位から相対的にシフト
愛媛県,380008,115771.393,114231.078,1540.315,1.33047980168987,98.66952019831012,0.0,362869.208,0.42448214564405806,129188.657,127648.343,1540.314,1.192298175218278,98.80770182478172,0.0,363639.715,0.42358244615828056,130227.675,128687.361,1540.314,1.182785456317177,98.81721454368282,0.0,371359.956,0.4147765463436236,-0.1476943453726931,-0.0009999999999763531,-6.492178547740904e-05,-14456.28300000001,D: 現預金中心・シフト小
高知県,390003,54360.747,51767.602,2359.707,4.340828870508346,95.22974730277345,2.003390424344242,271082.248,0.8704764024238133,54292.15,52793.355,1243.334,2.290080610180293,97.23938911978988,0.0,269981.457,0.46052570195589404,52859.829,50303.998,2279.307,4.3119833021026235,95.16488976912885,0.0,272660.761,0.8359497683643595,-0.028845568405722943,-80.40000000000009,-3.4072026738912964,1463.6039999999994,D: 現預金中心・シフト小
福岡県,400009,180114.721,161562.974,18491.986,10.266782136036511,89.70003845493562,1.905487780757243,988028.165,1.8716051480172124,190048.194,171481.082,18491.986,9.73015613081806,90.23031389606365,1.811153227796524,1007208.352,1.8359643229010874,181146.901,162777.638,18291.986,10.09787410053457,89.85946604739321,1.8946302592281166,1029808.813,1.7762506757649978,-0.168908035501941,-200.0,-1.0815495966739321,-1214.6640000000189,C: 高比率だが増加は小さい/低下
佐賀県,410004,72733.802,72681.334,0.0,0.0,99.92786297628166,0.0,266020.003,0.0,75455.768,75404.032,0.0,0.0,99.93143532778039,0.0,267714.418,0.0,64053.631,64002.464,0.0,0.0,99.92011850194721,0.0,274027.726,0.0,0.0,0.0,,8678.870000000003,B: 低位から相対的にシフト
長崎県,420000,98537.806,89806.246,8731.56,8.861126865357647,91.13887313464235,2.317887004709644,389963.591,2.2390705700522693,100462.383,53238.439,47223.944,47.00659350276412,52.99340649723588,19.271173370434582,390235.323,12.101401697047297,98954.941,43452.355,55502.586,56.08874649321452,43.91125350678548,17.392485737523707,396767.336,13.988698404346472,47.227619627856875,46771.026000000005,535.6548657971772,46353.890999999996,A: 有価証券比率が高く、さらに増加
熊本県,430005,108590.422,65369.241,43172.419,39.757115042798155,60.19798044435263,22.64531028344286,435111.278,9.922155821481603,98950.021,56550.731,42350.303,42.799690765098475,57.1508024237812,23.034957213399686,440447.592,9.615287668549678,104685.53,60336.719,44299.619,42.31685028484834,57.63615945775887,25.018929550244433,448036.79,9.887495846044251,2.5597352420501878,1127.199999999997,2.610926202675827,5032.5220000000045,A: 有価証券比率が高く、さらに増加
大分県,440001,81174.592,39495.004,41400.047,51.00123817068276,48.65439175844579,19.20954773631631,333039.115,12.430986372276422,84038.129,42145.232,41615.833,49.52018029815966,50.15013125768186,0.0,334661.515,12.435201280912148,83893.701,39835.182,43596.199,51.96599801932686,47.48292365835666,0.0,341106.417,12.780820537890966,0.9647598486440998,2196.152000000002,5.304708953591289,-340.1779999999999,A: 有価証券比率が高く、さらに増加
宮崎県,450006,135574.55,114573.112,20864.607,15.389766737193671,84.50930650332235,0.8730517637712978,332292.602,6.27898631339376,142171.009,123158.019,18875.165,13.27638112211752,86.62667576622461,0.6330404534162095,332887.667,5.670130458753222,138925.635,90254.887,48533.237,34.93468789975299,64.96633036804187,0.5237593479417963,338128.93,14.353470730824483,19.544921162559316,27668.63,132.61035781790667,24318.22499999999,A: 有価証券比率が高く、さらに増加
鹿児島県,460001,100241.416,93215.127,6994.513,6.977667793519597,92.99063273407869,5.896460999712933,484250.625,1.4443993748072086,106871.884,94416.904,12422.422,11.623657724607906,88.34587776145126,10.609530379383973,483573.931,2.5688775187511093,127066.077,108692.164,18341.222,14.434396994880075,85.53987544606417,13.581440780610546,489321.864,3.74829398589882,7.456729201360478,11346.709000000003,162.22300251640112,-15477.037000000011,A: 有価証券比率が高く、さらに増加
沖縄県,470007,154701.838,144839.959,9861.879,6.374765243577779,93.62523475642223,3.9775526131758046,404706.53,2.436797597508496,160575.286,151308.036,9267.25,5.771280394917061,94.22871960508293,3.4617512684984413,407514.427,2.274091267939331,168161.949,158763.699,9398.25,5.588808916576009,94.411191083424,3.205075245649062,418842.692,2.243861521165087,-0.7859563270017702,-463.6290000000008,-4.701223772873312,-13923.73999999999,C: 高比率だが増加は小さい/低下
