決算年度,業務コード,団体コード ,県名,団体名,団体区分,表番号,表名称,行番号,行名称,001:令和4年度末現在高,002:令和5年度・歳出決算額,003:令和5年度・取崩し額,004:令和5年度・歳計剰余金処分によるもの,005:調整額,006:令和5年度末現在高,007:6列の管理状況・現金・預金,008:6列の管理状況・信託,009:6列の管理状況・有価証券,010:6列の管理状況・有価証券・うち地方債,011:6列の管理状況・出資金,012:6列の管理状況・その他
2023,62,200000,長野県,長野県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,23843544,4848,4000000,0,0,19848392,19848392,0,0,0,0,0
2023,62,210005,岐阜県,岐阜県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,35768058,549830,8081,0,0,36309807,-5180530,0,41490337,29991255,0,0
2023,62,220001,静岡県,静岡県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,83457317,4422844,7472588,0,0,80407573,80407573,0,0,0,0,0
2023,62,230006,愛知県,愛知県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,100001198,2769846,2713884,0,0,100057160,100057160,0,0,0,0,0
2023,62,240001,三重県,三重県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,16655415,4599074,94762,0,0,21159727,21159727,0,0,0,0,0
2023,62,250007,滋賀県,滋賀県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,17383934,52750,5146372,0,-1,12290311,12290311,0,0,0,0,0
2023,62,260002,京都府,京都府,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,0,0,0,0,0,0,0,0,0,0,0,0
2023,62,270008,大阪府,大阪府,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,21327234,833872,21370757,9117589,-3832,9904106,9904106,0,0,0,0,0
2023,62,280003,兵庫県,兵庫県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,0,0,0,0,0,0,0,0,0,0,0,0
2023,62,290009,奈良県,奈良県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,13716286,2496989,185543,0,0,16027732,13127732,0,2900000,0,0,0
2023,62,300004,和歌山県,和歌山県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,17789975,3215368,714,0,0,21004629,21004629,0,0,0,0,0
2023,62,310000,鳥取県,鳥取県,,31,基金の状況・その1　積立基金現在高の状況,2,積立基金・減債基金,10104560,33904,0,0,0,10138464,4199936,0,5938528,5938528,0,0
